Image,TitleHeader,TitleMain,TitleUnknown,TitleAuthors,TitleCollege,TitleDepartment,TitleDate,TitleFooter,AbstractHeader,AbstractAuthors,Abstract,AbstractContent,AbstractCollege,AbstractKeywords,AbstractFooter,Uncategorized
data_1.jpg,,,,,,,,,,"Emmelyn R.  Carilla, and Research",Abstract,"The purpose of this study was to explore how Candy Magazine transitioned from print to digital. The study sought to explain how the selected magazine adjusted from challenges faced by the company, the changes in the organizational structure and the how the company surpassed management challenges experienced in the amidst of digitalization. The study adopted a theory based on Thorstein Veblen’s Technological Determinism, which suggests the impact of the technology to the human behavior and thought. The researchers utilized a qualitative method in the study. For the specific research method, the researchers adopted the approach of case study. The researchers chose participants from Summit Media to answer questions to the research problem. The participants were interviewed using in- depth, open ended questions. The results show that there is a tedious process in creating a printed magazine that includes departments with different functions to publish it. In managing a magazine, the Marketing department is in charge of retaining audiences. The study shows that there are challenges faced by Candy Magazine. These challenges include; how audiences consume content, social media platforms that are big players, new formats that audiences patronize and new marketing strategies. A digital magazine utilizes parallel organization that has a 24/7 system ready to publish relevant contents. Digital magazines collate their audiences to gain readership. Results revealed transitioning to digital using social media will broaden their audiences and emerging with new platforms could possibly gain audiences, It can be concluded that Candy Magazine had transitioned from print to digital by accepting internet trends, exploring new formats, utilizing social media platforms and changing their aesthetics to what generation they cater to. It is recommended that future publication must learn digital strategies and techniques to increase their audiences. For print magazines who are thriving in the digital age, it is recommended to utilize platforms that may encourage possible target audience but still stay true to their magazine’s purpose to retain the audience they have in print.",College of Arts and Sciences,"Keywords: Digitalization, Social First, Magazines, Medium Shift",,
data_10.jpg,OF THE PHILIPPINES UNIVERSITY - CAVITE,THE LAST LUNG OF MANILA: A PROPOSED MASTER PLAN FOR THE RE-DEVELOPMENT OF ARROCEROS FOREST AS AN ECO- TOURISM PARK FOR ENVIRONMENTAL AWARENESS,,GLEN REI V. GUINTO SHAIRA M. MACATIGBAC,A Thesis Submitted to the Faculty of the College of Computer Studies and Architecture Lyceum of the Philippines University - Cavite,Bachelor of Science in Architecture,April 2019,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_100.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,TECHLEAF: INFORMATION AND COMMUNICATION TECHNOLOGY DEPARTMENT. TRANSACTION PROCESSING SYSTEM OF LYCEUM OF THE PHILIPPINES UNIVERSITY-CAVITE,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",PAULINE S. PLATA DANICA J. CABUTIN BERNADETTE BANAL GIO ADRIAN B. FORTUNO,"College of Engineering, Computer Studies, and Architecture",Bachelor of Science in Information Technology,March 2014,,,,,,,,,
data_101.jpg,,CITIZEN JOURNALISM IN NEWS DISSEMINATION AS PERCEIVED BY THE STUDENTS OF LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,"Caballes, Jorge","Rose G.  Dapon, Maybelle F.  Sale, Junille Abbey D. March, 2013","Presented to the Faculty of College of Arts and Science of Lyceum of the Philippines University General Trias, Cavite",In Partial Fulfillment,,,,,,,,,,
data_102.jpg,,AGRITECTURE: A VERTICAL DEVELOPMENT FOR RICE FARMING IN CENTRAL LUZON,,ANGELICA DYANNE A. DON LIME R. ROMERO,"An Undergraduate Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Architecture,November 2017,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_103.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,"ON MANUFACTURING OF BRIQUETTES STUDY NDANG, CAVITE WASTES IN I A FEASIBILITY MADE FROM AGRO-INDUSTRIAL","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,"A Feasibility Study Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University Cavite",Bachelor of Science in Industrial Engineering,"ARAULLO, RONIEL ADRIAN T. DIAZ, LORRIS ANNE R. DIGMA, LORRAINE B. SALVADORA, EDGAR JR V. MARCH 2020",,,,,,,,,
data_104.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,SERBISYO PH: AN ANDROID APPLICATION FOR HIRING SERVICE PROVIDER,,PARLAND M. CADLAON EDRIAN JAE P. CELEDONIO ARIAN CARLO S. PAREDES ALLAN KRISTIAN B. REDONDO NEIL B. VILLON,"A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Information Technology,May 2018,OF COMPUTER STUDIES AND ARCHITECTURE,,,,,,,,
data_105.jpg,,"Adoption of Facebook as a News Source by Older Adults in Trece Martires City, Cavite: A Phenomenological Study",Youn,Hwa L.  Guy,,Bachelor of Arts in Communication,June 2023,COLLEGE OF LIBERAL ARTS AND EDUCATION,,,,,,,,
data_106.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,KRADD Enterprises,,,A Feasibility Study Presented to,Bachelor of Science in Customs Administration,"By: Bajenting, Riyah D. Bantigue, Abegail C. Cabaccang, Danica Joyce P. Carpio, Denzel Conrad G. Mabunga, Alexander Kiel C. December 2018",COLLEGE OF BUSINESS ADMINISTRATION,,,,,,,,
data_107.jpg,,In Partial Fulfillment Of the Requirements for the Degree of Bachelor of Arts Major in Legal,Gabrielle,"Ann B.  Rogacion, Marinel-raiza M. Valiente, Rochelle Mae S. COLLEGE OF ARTS AND SCIENCES",,,,,,,,,,,,
