index,title,authors,college,department,abstract,keywords,pubdate
1,GOING PAPERLESS: THE TRANSITION OF SELECTED MAGAZINES IN THE PHILIPPINES FROM PRINT TO DIGITAL,"ALSHERAINE F, ARMAS RALPH RENZO AUSTRIA KING DOMINIC M. PALMA",COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"The purpose of this study was to explore how Candy Magazine transitioned from print to digital. The study sought to explain how the selected magazine adjusted from challenges faced by the company, the changes in the organizational structure and the how the company surpassed management challenges experienced in the amidst of digitalization. The study adopted a theory based on Thorstein Veblen’s Technological Determinism, which suggests the impact of the technology to the human behavior and thought. The researchers utilized a qualitative method in the study. For the specific research method, the researchers adopted the approach of case study. The researchers chose participants from Summit Media to answer questions to the research problem. The participants were interviewed using in- depth, open ended questions. The results show that there is a tedious process in creating a printed magazine that includes departments with different functions to publish it. In managing a magazine, the Marketing department is in charge of retaining audiences. The study shows that there are challenges faced by Candy Magazine. These challenges include; how audiences consume content, social media platforms that are big players, new formats that audiences patronize and new marketing strategies. A digital magazine utilizes parallel organization that has a 24/7 system ready to publish relevant contents. Digital magazines collate their audiences to gain readership. Results revealed transitioning to digital using social media will broaden their audiences and emerging with new platforms could possibly gain audiences, It can be concluded that Candy Magazine had transitioned from print to digital by accepting internet trends, exploring new formats, utilizing social media platforms and changing their aesthetics to what generation they cater to. It is recommended that future publication must learn digital strategies and techniques to increase their audiences. For print magazines who are thriving in the digital age, it is recommended to utilize platforms that may encourage possible target audience but still stay true to their magazine’s purpose to retain the audience they have in print.","Keywords: Digitalization, Social First, Magazines, Medium Shift",May 2019
2,A STUDY ON TECHNOPHOBES AND THEIR DIFFICULTIES IN UTILIZING SOCIAL MEDIA TO GATHER NEWS AND INFORMATION,GINNELYN M. ANDALEON MARIA THERESA B. BORITA MIN HEE YU,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"The purpose of this research is to measure the level of technophobia of selected faculty members in Amadeo National High School. This study also wants to document the difficulties they experience in using social media. Quantitative and qualitative research was used in the study and survey that was distributed to the thirty-four (34) faculty members ages 55 years old and above in AMANAHIS. The researchers conducted an interview to five (5) participants that they randomly picked in the participants of the survey. The results show that technophobes believe that technology can help them to learn and discover many new things even if they are not comfortable using it. But in contrast with this, they also believe that technology may fail at the worst possible time. Technophobes also consider to acquire news and information by using the traditional way because for them, news and information from television, radio and newspaper are more credible than those that are from social media. This study also shows that technophobes suffers different kind of difficulties before, during and after they use the technology or the social media. Hence, it can be conclude that technophobes avoids social media but there is a big possibility that they will train and adapt in the modernization. It is recommend that technophobes should be engage in literacy programs and orientation to train them. And for the millenials who are capable to utilize and operate the social media, they should share their knowledge most especially with the elders. Using social media can give them extra entertainment and satisfaction.","Keywords: Technophobes, Utilizing and Social Media",June 2018
3,AACLA: THE DEVELOPMENT OF AN ANDROID APPLICATION FOR ANATOMY OF ANIMALS,IAN RICO ALCORIZA MICHAEL RYAN DAYDAY MARIEL MAGRACIA ELLYSSA GHEM MENDOZA ARIELL ALLYSON OLEGARIO DENNIS RUIZ,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"The Capstone Project is to help students in learning Anatomy of Animals using Augmented Reality. The project will offer an effective and new method to help students in actual dissection. The application has the following main feature Full Interactive 3D mode, Augmented Reality mode, and Challenges to see how well the students understand the topic. The application developed in Unity 3D and blender to design 3D models. The programming language used is The methodology that the developers implemented is the Incremental method. For better understanding and determining the impact of application testing and evaluation was conducted. Three types of testing were used, these are functionality, conformance, and compatibility testing that are used for the Research Adviser, End User and the biologist. The result of functionality test for Research professor and end user is 100% for the biologist 90%. Compatibility and Conformance test got 100% for all test respondent. The evaluation of the system was given to thirty-five (35) users and eleven (11) IT Experts. The overall result of evaluation taken by the participants using the MARS criteria is the project eamed an overall mean of “3.72” and a Standard Deviation of with an interpretation of “Highly Acceptable”.","Keywords: Android application, Animal Anatomy, Dissection, Augmented Reality. ",April 2019
4,TECHLEAF: INFORMATION AND COMMUNICATION TECHNOLOGY DEPARTMENT. TRANSACTION PROCESSING SYSTEM OF LYCEUM OF THE PHILIPPINES UNIVERSITY-CAVITE,PAULINE S. PLATA DANICA J. CABUTIN BERNADETTE BANAL GIO ADRIAN B. FORTUNO,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"entitled TECHLEAF: Information and Communication Technology Department Transaction Processing System of Lyceum of the Philippines University- Cavite is design to provide reliable, secured, efficient and convenient ICTD transactions such as; Wi-Fi Management, ID Management, Equipment Transactions and Reservation, Reports Generation with additional functions like Customer Feedback and Messaging System. This study aims to create and develop a high-end transaction processing system that will attend to the needs of Information and Communication Technology Department of LPU-Cavite. Specifically, to retain the accuracy of data and information regarding all the transactions in ICTD, develop a cost-efficient transaction processing system without sacrificing its quality, develop a reliable system that will help in decision making of Information and Communication Technology Department officials through the reports the system will produce, provide a more secured and human-free error system, develop a conducive and user-friendly interface for its users, achieve the system flexibility that will immediately respond to the user’s request, maintain the validity of every data that will be processed by the system and output valid information. In this study, the proponents used PHP, HTML, CSS, SQL, Ajax, jQuery and other web programming language to come up with the idea of TECHLEAF. It is encrypted by using Symmetric Encryption, a form of computerized cryptography through encryption key that pretense an electronic message. This is implemented to secure passwords in the system.","Keywords: Wi-Fi Management, ID Management, Equipment Management, Customer Feedback, and Security",March 2014
5,"RAPID VISUAL SCREENING ON POTENTIAL SEISMIC HAZARD OF PUBLIC BUILDINGS IN AMADEO, CAVITE","IRIS D. DELAVIN, GREJEAN MAE MENDIOLA, MA. ANGELA Q. SIMPLINA, KATHLYN JOYCE A. ","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Civil Engineering,"The purpose of this research is to identify the public buildings of Amadeo, Cavite according to their seismic performance based on the FEMA RVSP Scores in order to select evacuation sites when an earthquake happens. The public buildings were assessed based on the irregularities observed such as building storey, vertical irregularity, plan irregularity, pre-code, post benchmark, and soil type. Action research method was used in the study and a total of 175 public buildings in Amadeo, Cavite were assessed through Rapid Visual Screening. The results show that in terms of safe evacuation centers, 86 buildings were considered, mainly were the Public Schools and Covered Courts. The remaining 89 buildings were considered unsafe and unfit to be used as an evacuation center when earthquake suddenly happen. Hence, it can be concluded that the majority of the Public Buildings in the municipality dominates the potential seismic hazard and therefore, needs further detailed evaluation from the Provincial Engineering Office. The public buildings inspected scored lower than 2.0 were estimated to have higher risks of damages and collapse when earthquake occur. It is recommended to evaluate private buildings such as residential, commercial and industrial buildings to completely estimate the potential seismic hazard of the municipality and to provide a detailed mapping of the region that has been evaluated to properly visualize the potential hazards in that particular area.","Keywords: Amadeo, Cavite, Seismic Hazard, Rapid Visual Screening Procedure, and FEMA Scoring",December 2019
6,An Explorato Proposing a Signa on the Influences of the Evolution of Baro’t saya in Filipiniana in Promoting Cavite’s Cultural Identity ~,"Gamayon, Trisha Charlene P.  Garbulo, Jeminah Joy Liandre, Anne C.  Maghuyop,",COLLEGE OF FINE ARTS AND DESIGN,Bachelor of Multimedia Arts,"This research explores the evolution of saya in proposing a signature Filipiniana Dress in Cavite’s cultural identity and producing distinction compared to the other regions. The researchers used a qualitative approach, a semi-structured interview to explore participants’ experiences and get an idea of how Baro’t saya promotes and preserves the Cavite’s local heritage. The research participants are 5 experts (1 professor, 3 dressmakers and the head of tourism) in Cavite. The interview process is conducted in a less formal manner, where the interviewer does not adhere to a rigid set of questions and identifies the idea and experience on designing Baro’t saya. Using this approach, the results showed that the participants are familiar with Baro’t saya and are in favor of the influences of the evolution of saya in proposing a signature Filipiniana in promoting Cavite’s cultural identity. The results also presented a new signature Filipiniana Dress and distinguish the cultural identity of Cavite. ","Keywords: . Filipiniana, Baro’t Saya, Cavite, cultural identity, local heritage, promoting, signature, distinction, influences, proposing, explores ",June 2024
7,"MODERNITY IN ETHNICITY: A QUALITATIVE STUDY ON FACEBOOKUSAGE AMONG THE AETA COMMUNITY IN BRGY. NABUCLOD FLORIDABLANCA, PAMPANGA",IVY JOYCE B. CAPARAS ROSETTE M. GARDON JOSHUA D. SANCHEZ,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"The rapid rise in the usage of Facebook as a means of cultural and social interaction among the indigenous people specifically the Aetas is an intriguing development. It is somehow considered as a phenomenon that has not yet gained a lot of attention in the society, although interest is gaining a momentum as it becomes apparent that the usage of Facebook is becoming a typical activity. This study examines the Facebook usage and its influence and progress among the Aetas to further observe the compatibility of this innovation with the existing traditions, beliefs, and the needs in coping up with the modernization. This study used the Diffusion of Innovations Theory to determine the level of adaptation of the participants on Facebook and the Social Influence Theory to find out the areas in which the participants accepted the new innovation which is Facebook. The researchers used the qualitative approach to attain the objectives of this study. Three Aetas were selected to be interviewed by the researchers using a semi- structured questionnaire. The results showed that Facebook gives them convenience and satisfaction when it comes to their interest in exploring the modern world. They are now on the peak of exploring the modern society and since they are still at the beginning of the new innovation, their culture and tradition is not yet much affected by their Facebook usage. They are still embracing and preserving their way of life although they are already beginning to discover the social media world. Future researchers should further analyze the emergence of other social media platforms in the lives of these indigenous people to address a larger number of participants for more conclusive result.","Keywords: Facebook usage, Aeta",March 2017
8,PLANT DIVERSITY OF THE NORTHEAST SLOPE OF MOUNT PALAY- PALAY MATAAS NA GULOD PROTECTED LANDSCAPE,"Fallurin, Alfa-Joy V.  Malajito, Josef Johannes M. ",COLLEGE OF ARTS AND SCIENCES,Bachelor of Science in Biology,"Mount Palay-palay Mataas na Gulod Protected Landscape had experienced overexploitation, deforestation and land degradation before it was declared as a protected landscape. The Philippine government had been continuously exerting their efforts in monitoring the protected areas’ status; however, few accounts of the association of physicochemical and environmental factors to tree species diversity were recorded. The study specifically aimed to assess the plant diversity and ecology of the NE slope of MPMNGPL. Variables such as physicochemical, site and environmental factors were taken on 2 transects consisting of 10 nested plots each measuring 10x10m with 40m interval. Plant data from the plots revealed that there are 67 plant species wherein 66 are native and 1 is non-native which is Paspalum conjugatum and Sapindales is the most dominant order. NPK values are affected by soil pH as soil moisture is to relative humidity and canopy cover. Elevation is inversely proportional (p<0.05) to the distance of trees, DBH and species richness. However, using Pearson — correlation, the study shows an insignificant relationship (p<0.05) between physicochemical factors and species diversity in MPMNGPL. Therefore, according to the results of the data analysis, the physicochemical properties which served as parameters of this research do not have a significant relationship with plant diversity because MPMNGPL different rehabilitation programs and is not a virgin forest anymore.",Keywords : Mount Palay-palay; Cavite Protected Landscape; Southern Luzon; DENR; Plant diversity; Physicochemical Factors,May 2019
9,STUDY ON THE LEGAL OF FAKE NEWS IN PHILIPPINE POLITICS,JOSHUA ALAN BUENDIA SOFIA YZABEL I. CRUZ NEIL STEPHEN F. NAVIGAR,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Legal Studies,,"Keywords; Fake News, Legal Implications, Politics",2018
10,HEALING THE INVISIBLE WOUND: AN ARMED FORCES OF THE PHILIPPINES CONVALESCENCE FACILITY FOR PTSD ENGAGING MILITARY DESIGN THROUGH SALUTOGENIC ARCHITECTURE,"BARCALA, JULIE ROSE FLORALDE, MARICOR L. ","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,"Forces of the Philippines served us in order to protect our country against war but unfortunately, the government is not focusing on how they will be after the war and providing them with sufficient facilities to ensure their health, not only physically but also mentally. With the growing number of military personnel in the country, there are only two distinct medical facilities that cater military personnel; these are the AFP Medical Center and the VMMC. As a result, overcrowded, bed congestion and deficiency in medical facilities causes unresponsiveness in healthcare and services. The challenge is to design an efficient medical facility that will give solution for this research and at the same time, giving accurate spaces for a better programs and following psychological guidelines to ensure the goal of the research that will give our Armed Forces of the Philippines a better services where members will be identified via screening for having PTSD and also a place where they can be taken care by giving solutions to the current situation. The main goal of the study is to establish a military facility specializing in recovery of Post-Traumatic Stress Disorder that creates a therapeutic environment that will be essential in patient centered environment, and by making sure that the military is screened before and after every battles and that veterans and their family are not only assisted to treat from PTSD, but also to raise awareness and learn how to support people suffering from this disorder. Military, uniformed officers, but also our compatriots will benefit from this institution. With the knowledge and the years of experience in PTSD from the Psychiatric Department of AFP Medical Center, the required outcome can be achieved by solving one of our nation's primary mental health issues, the Post Traumatic Stress Disorder.","Keywords: Mental Health, Post-Traumatic Stress Disorder, Armed Forces of the Philippines, Psychiatry, AFP Medical Center, Veterans Memorial Medical Center",June 2020
