index,title,authors,college,department,abstract,keywords,pubdate
1,A KNN-based Text Classifier,"Alexander A. Rubio, Fatima C. Eusebio","College of Engineering, Computer Studies, and Architecture",Department of Computing Studies,"This research explores the use of K-Nearest Neighbors in text classification tasks, demonstrating its efficiency across multiple datasets.","keywords-knn, text classification, algorithm, artificial intelligence, machine learning",May 2024
2,Sustainable Urban Architecture: Integrating Green Roofs and Facades in High-Rise Buildings,"Juan Carlos D. Santos, Maria Luz Reyes","College of Engineering, Computer Studies, and Architecture",Department of Architecture,"This research explores the potential of green roofs and vertical gardens in high-rise buildings to mitigate urban heat, improve air quality, and enhance biodiversity. Through case studies of sustainable architecture in major cities, the study examines the economic and environmental benefits, as well as the challenges in implementation. Findings suggest that integrating greenery in high-rise structures can significantly contribute to urban sustainability and resilience.","keywords: Sustainable architecture, green roofs, vertical gardens, urban heat mitigation, high-rise buildings, biodiversity",May 2023
3,Smart Grid Technology: Enhancing Energy Efficiency and Grid Stability,"Antonio Cruz, Maricel V. Delos Santos, Jose Andres A. Bautista","College of Engineering, Computer Studies, and Architecture",Department of Engineering,"This research investigates the integration of smart grid technologies to improve energy distribution efficiency and grid stability. It examines the role of real-time data, automated controls, and renewable energy sources in optimizing electrical grid operations. Case studies from cities that have successfully implemented smart grid solutions are analyzed, demonstrating the potential to reduce energy waste, lower costs, and increase grid resilience in the face of increasing energy demands.","keywords-Smart grid, energy efficiency, grid stability, renewable energy, real-time data, electrical systems",April 2022
4,Advances in Immunotherapy: Targeted Treatments for Cancer,"Cristina Flores, Miguel Tomas Navarro",College of Allied Medical Sciences,N/A,"This research examines recent advancements in immunotherapy as a promising treatment modality for cancer. Focusing on checkpoint inhibitors, CAR-T cell therapy, and monoclonal antibodies, the study assesses their efficacy in targeting specific cancer cells while minimizing damage to healthy tissues. By analyzing clinical trial outcomes and the molecular mechanisms behind immune evasion, the paper highlights the potential of personalized immunotherapies to revolutionize cancer treatment paradigms.","keywords: Immunotherapy, cancer treatment, checkpoint inhibitors, CAR-T cell therapy, monoclonal antibodies, personalized medicine",April 2021
5,The Evolution of Digital Art: From Traditional Techniques to Virtual Reality,"Elena M. Ramirez, Rodel C. De Guzman, Fernando Lim, Jocelyn Rivera Villanueva",College of Fine Arts and Design,N/A,"This research explores the transformation of digital art, tracing its origins from traditional forms such as painting and sculpture to the advent of virtual reality and interactive installations. The study examines how emerging technologies have redefined the creative process, enabling artists to create immersive environments and interactive experiences. By analyzing contemporary works of digital artists, the paper discusses the boundaries between art, technology, and the viewer's experience in virtual spaces.","keywords-Digital art, virtual reality, traditional techniques, interactive installations, contemporary art, technology in art",May 2023
6,Sustainable Tourism: Balancing Economic Growth with Environmental Preservation,"Karen Ann P. Mercado, Luis Tomas Ong",College of International Tourism and Hospitality Management,N/A,"This research explores the concept of sustainable tourism and its implementation in various tourist destinations. The study evaluates the environmental, economic, and social impacts of tourism on local communities and natural resources. Through case studies of eco-tourism destinations, the paper discusses strategies for minimizing the negative effects of tourism, such as over-tourism, while promoting long-term environmental preservation and local economic benefits.","keywords: Sustainable tourism, eco-tourism, environmental preservation, economic growth, over-tourism, local communities",April 2024
7,The Role of Leadership Styles in Organizational Performance: A Comparative Study,"Paulo N. Mendoza, Sylvia Carmela Soriano, Estela Fernandez",College of Business Administration,N/A,"This research examines how different leadership styles?transformational, transactional, and laissez-faire?impact organizational performance. By analyzing case studies from various industries, the study evaluates the strengths and weaknesses of each leadership approach in terms of employee motivation, productivity, and innovation. The paper also explores how the alignment of leadership styles with organizational culture and business strategy can enhance overall performance and sustainability.","keywords—Leadership styles, organizational performance, transformational leadership, transactional leadership, employee motivation, business strategy, organizational culture",July 2023
8,The Impact of Nurse-Patient Communication on Patient Satisfaction and Health Outcomes,"Arnel G. Cabrera, Bianca Lea L. Sison, Carlo Ortega",College of Nursing,N/A,"This research explores the role of effective nurse-patient communication in improving patient satisfaction and health outcomes. It examines the importance of active listening, empathy, and clear communication in building trust and reducing anxiety in patients. The study analyzes data from hospitals and clinics to evaluate how communication training programs for nurses contribute to enhanced patient care, decreased hospital readmissions, and better overall health outcomes.","key words: Nurse-patient communication, patient satisfaction, health outcomes, communication skills, trust-building, healthcare quality, nursing education",July 2021
9,The Legal Implications of the Philippine Data Privacy Act: Protecting Personal Information in the Digital Age,"Lorena Diaz, Ernesto Tomas Aquino",College of Law,N/A,"This study examines the legal framework provided by the Philippine Data Privacy Act (Republic Act No. 10173) and its implications for businesses, government agencies, and individuals. It explores the challenges in ensuring compliance with the law, particularly in sectors dealing with sensitive personal information. The research assesses the effectiveness of the law in protecting privacy rights and examines enforcement mechanisms, penalties for non-compliance, and the role of the National Privacy Commission in safeguarding data privacy.","keywords-Data Privacy Act, Philippine law, personal information protection, data privacy, compliance, National Privacy Commission, legal framework, privacy rights",March 2019
10,Artificial Intelligence in Cybersecurity: Enhancing Threat Detection and Response,"Ramon Hernandez, Liza C. Dela Cruz, Michael Alexander Yap","College of Engineering, Computer Studies, and Architecture",Department of Computing Studies,"This research explores the use of artificial intelligence (AI) and machine learning algorithms in cybersecurity, focusing on their ability to enhance threat detection, prevention, and response times. The study examines various AI-driven techniques such as anomaly detection, behavior analysis, and predictive models that can identify potential security breaches or vulnerabilities in real-time. The paper also evaluates the effectiveness of AI-based security systems in preventing cyberattacks, protecting sensitive data, and minimizing human error in threat management.","keywords-Artificial Intelligence, cybersecurity, machine learning, threat detection, predictive models, anomaly detection, data security, cyberattacks",April 2020
